Period,Revenue,Year,Month
2015-01,16010072.1195,2015,1
2015-02,15807587.449808,2015,2
2015-03,22047146.023644,2015,3
2015-04,18814583.29428,2015,4
2015-05,14021479.611678,2015,5
2015-06,16783928.522112,2015,6
2015-07,19161892.194872,2015,7
2015-08,15204984.296742,2015,8
2015-09,20603939.9751,2015,9
2015-10,20992874.780136,2015,10
2015-11,14993369.65763,2015,11
2015-12,27791807.639848,2015,12
2016-01,28601586.496,2016,1
2016-02,22367074.065584,2016,2
2016-03,29738608.568,2016,3
2016-04,28351007.9388,2016,4
2016-05,15264603.734865,2016,5
2016-06,24385658.077056,2016,6
2016-07,29486517.069955,2016,7
2016-08,15270117.2565,2016,8
2016-09,36141027.562,2016,9
2016-10,27915143.655,2016,10
2016-11,21272049.3454,2016,11
2016-12,42014159.88396,2016,12
2017-01,36007380.67,2017,1
2017-02,30396775.3784,2017,2
2017-03,47678130.72603,2017,3
2017-04,27013964.728324,2017,4
2017-05,24948844.698,2017,5
2017-06,31101345.543,2017,6
2017-07,33848822.228544,2017,7
2017-08,16454666.958,2017,8
2017-09,31650092.652,2017,9
2017-10,31572205.6224,2017,10
2017-11,22446371.0268,2017,11
2017-12,44966125.7696,2017,12
2018-01,44067520.858,2018,1
2018-02,36020287.1553,2018,2
2018-03,46995990.4125,2018,3
2018-04,35536487.6848,2018,4
2018-05,29699599.176,2018,5
2018-06,33261065.3886,2018,6
2018-07,35826534.9072,2018,7
2018-08,23268655.2112,2018,8
2018-09,35423489.85,2018,9
2018-10,39831565.6974,2018,10
2018-11,32999145.2096,2018,11
2018-12,47221828.2018,2018,12
2019-01,36459960.091485,2019,1
2019-02,36546498.663015,2019,2
2019-03,54198706.7196,2019,3
2019-04,32743989.6056,2019,4
2019-05,32531657.5397,2019,5
2019-06,47709701.6346,2019,6
2019-07,45992141.57398,2019,7
2019-08,36933665.022,2019,8
2019-09,48526260.1344,2019,9
2019-10,44160416.1824,2019,10
2019-11,36374956.4944,2019,11
2019-12,58756473.6608,2019,12
2020-01,56288300.87,2020,1
2020-02,40225243.264,2020,2
2020-03,50022165.2325,2020,3
2020-04,52320692.9428,2020,4
